prefecture,2015,2016,2017,2018,2019,2020
Hokkaido,5381733,5352306,5320314,5286236,5250325,5224614
Aomori,1308265,1293774,1278453,1262963,1249339,1237984
Iwate,1279594,1269344,1258686,1247631,1236173,1210534
Miyagi,2333899,2330769,2326127,2320703,2313215,2301996
Akita,1023119,1009705,996168,982390,969248,959502
Yamagata,1123891,1113038,1102040,1090332,1078712,1068027
Fukushima,1914039,1893379,1878438,1863584,1848257,1833152
Ibaraki,2916976,2905187,2891896,2878415,2864619,2867009
Tochigi,1974255,1966548,1958217,1949574,1940984,1933146
Gunma,1973115,1967735,1961636,1956102,1949257,1939110
Saitama,7266534,7288081,7309997,7330333,7340338,7344765
Chiba,6222666,6240400,6259968,6274092,6282362,6284480
Tokyo,13515271,13636222,13742403,13824302,13921287,13963493
Kanagawa,9126214,9145572,9163679,9179973,9198327,9237337
Niigata,2304264,2285856,2266623,2246231,2225881,2201272
Toyama,1066328,1059797,1053074,1046424,1039868,1034814
Ishikawa,1154343,1151475,1148281,1144211,1139414,1132526
Fukui,786740,782232,777717,773177,768832,766863
Yamanashi,834930,830163,824559,819119,813739,809974
Shiga,1412916,1413182,1413349,1413640,1414115,1413610
Kyoto,2610353,2605731,2599313,2591694,2583093,2578087
Osaka,8839469,8837812,8831343,8822998,8813337,8837685
Hyogo,5534800,5520575,5502844,5483450,5466497,5465002
Nara,1364316,1356711,1348995,1340916,1332766,1324473
Wakayama,963579,953935,944321,934279,925184,922584
Gifu,2031903,2019702,2006734,1995133,1984241,1978784
Shizuoka,3700305,3688126,3673729,3657375,3640771,3633202
Aichi,7483128,7507691,7525330,7539074,7552253,7542415
Mie,1815865,1806338,1796856,1787401,1778107,1770254
Shiga,1412916,1413182,1413349,1413640,1414115,1413610
Kyoto,2610353,2605731,2599313,2591694,2583093,2578087
Osaka,8839469,8837812,8831343,8822998,8813337,8837685
Hyogo,5534800,5520575,5502844,5483450,5466497,5465002
Nara,1364316,1356711,1348995,1340916,1332766,1324473
Wakayama,963579,953935,944321,934279,925184,922584
Gifu,2031903,2019702,2006734,1995133,1984241,1978784
Shizuoka,3700305,3688126,3673729,3657375,3640771,3633202
Aichi,7483128,7507691,7525330,7539074,7552253,7542415
Mie,1815865,1806338,1796856,1787401,1778107,1770254
Tottori,573441,570560,567638,564413,561280,553407
Shimane,694352,690048,685718,681121,676643,671126
Okayama,1921525,1919934,1915446,1910609,1905417,1900113
Hiroshima,2843990,2838339,2831553,2824316,2816477,2804316
Yamaguchi,1404729,1393664,1382103,1370217,1358392,1342059
Tokushima,755733,750241,744807,739079,733470,728633
Kagawa,976263,972051,967640,963171,958673,950269
Ehime,1385262,1374944,1363842,1351838,1340156,1334841
Kochi,728276,720979,713364,705886,698205,691527
Fukuoka,5101556,5104899,5109323,5112134,5111494,5135214
Kumamoto,1786170,1775705,1764673,1756475,1747834,1738301
Oita,1166729,1159359,1151610,1143831,1136195,1123852
Miyazaki,1104069,1095906,1087856,1080061,1072970,1069576
Kagoshima,1648177,1637071,1625901,1613941,1602123,1588256
Okinawa,1433566,1439732,1445704,1451125,1457162,1467480
